id,business_Name,HRM,Innovation,Sustainibility,Clean,Doc,Decor,Sponsorship,Social_Media,Digital_Ads,Promotions,created_at,updated_at
1,Hatch-N-Cube,3,4,3,3,3,4,3,3,2,2,NULL,17/01/2023 19:37
2,PlantX,2,3,3,4,0,2,0,3,3,2,NULL,17/01/2023 19:43
3,Botanical Bars,0,0,0,0,0,0,0,0,0,0,NULL,NULL
4,E-commerce by achievers,3,2,2,2,5,2,4,2,3,2,NULL,17/01/2023 19:12
5,waxsy,3,2,1,3,3,3,3,3,2,3,NULL,17/01/2023 18:22
6,Musaffa,3,4,2,3,2,3,2,2,3,1,NULL,17/01/2023 18:51
7,Pearls & Purse,4,4,3,2,4,3,3,2,4,4,NULL,17/01/2023 19:13
8,Tea Mates,4,4,3,5,5,5,5,3,3,3,NULL,17/01/2023 21:35
9,Fire Benders,2,3,3,2,4,3,4,3,3,2,NULL,17/01/2023 19:11
10,Golden Flames,4,3,3,3,4,3,0,3,4,2,NULL,17/01/2023 18:34
11,Ikigai scents,4,4,2,3,4,3,0,2,4,2,NULL,17/01/2023 19:36
12,Herbalmist,4,4,3,5,5,4,1,5,5,5,NULL,17/01/2023 21:45
13,The Artisans Club,4,3,2,3,3,4,0,3,3,2,NULL,17/01/2023 19:51
14,Gallery 23,4,2,2,2,4,3,0,1,3,1,NULL,17/01/2023 18:53
15,Frame It Up,3,2,1,4,2,3,2,2,3,2,NULL,17/01/2023 18:24
16,usaw scents,4,2,2,2,0,3,2,2,3,1,NULL,17/01/2023 19:24
17,Saponify,3,3,3,3,0,4,0,3,3,2,NULL,17/01/2023 19:04
18,P-Me,2,1,1,1,1,3,0,1,2,2,NULL,17/01/2023 18:28
19,Educated polishyaan,4,3,2,5,3,3,0,4,3,2,NULL,17/01/2023 18:58
20,HealthPunch,4,4,2,4,4,4,4,4,4,4,NULL,17/01/2023 21:19
21,Icebearcreates,4,2,2,3,2,3,0,1,2,1,NULL,17/01/2023 19:05
22,ROBUST,4,4,3,4,3,3,0,2,4,2,NULL,17/01/2023 20:51
23,The Oculators,3,3,3,2,2,2,2,2,2,2,NULL,17/01/2023 21:22
24,Kulture,3,3,3,3,3,2,5,5,5,3,NULL,17/01/2023 21:47
25,The Capture Crew,2,2,2,2,2,1,0,2,0,2,NULL,17/01/2023 19:27
26,Glowing Clouds,1,4,3,2,5,4,0,3,3,3,NULL,17/01/2023 18:32
27,Spray N Wear,1,3,2,3,3,1,0,2,3,1,NULL,17/01/2023 18:37
28,Comfort Sit,1,2,1,0,3,1,3,0,3,0,NULL,17/01/2023 19:16
29,90s Fit,2,1,1,4,4,5,3,1,2,1,NULL,17/01/2023 21:09
30,SUSVASE,1,1,2,3,0,2,0,1,1,2,NULL,17/01/2023 18:27
31,Color fusions,3,3,2,3,4,3,4,2,3,2,NULL,17/01/2023 19:38
32,Arcilla,4,4,2,3,4,4,3,3,4,4,NULL,17/01/2023 19:19
33,The crafty candles,5,3,2,3,4,2,1,1,2,2,NULL,17/01/2023 18:56
34,Double up bubbles,4,4,2,4,4,4,0,2,2,4,NULL,17/01/2023 18:41
35,Classy shopping bags,3,3,2,4,4,3,0,3,2,2,NULL,17/01/2023 18:39
36,Camera Crew,2,3,3,2,5,2,4,0,2,2,NULL,17/01/2023 18:36
37,Papier,0,0,0,0,0,0,0,0,0,0,NULL,NULL
38,Taroona,3,2,2,3,4,3,4,3,3,2,NULL,17/01/2023 19:40
39,Rangoonaa,2,2,1,0,4,3,0,3,2,3,NULL,17/01/2023 20:43
40,The Scented Dreams,3,3,3,4,4,3,2,2,2,1,NULL,17/01/2023 18:19
41,Kalah e Naqashi,4,3,2,3,4,4,4,4,3,2,NULL,17/01/2023 18:48
42,Handscape,4,4,2,3,4,3,0,4,4,4,NULL,17/01/2023 19:01
43,Soapy Blyss,3,3,2,3,2,3,0,2,2,3,NULL,17/01/2023 19:47
44,Haji & co,4,1,1,3,3,1,2,2,2,2,NULL,17/01/2023 21:14
45,Coffee Toffee,4,2,3,4,4,4,2,3,4,3,NULL,17/01/2023 18:47
46,Black and white with achievers,0,0,0,0,0,0,0,0,0,0,NULL,NULL
47,AK Minerals,3,1,2,3,3,3,0,2,2,4,NULL,17/01/2023 19:46
48,Amaryllis,2,2,1,3,1,1,2,2,2,2,NULL,17/01/2023 21:17
49,Sardar Ji and co electronics,1,3,3,3,5,3,5,2,2,1,NULL,17/01/2023 19:06
50,Handify crafts,3,3,3,2,0,2,0,3,2,2,NULL,17/01/2023 19:42
51,Eccentric Art,3,4,3,5,4,3,1,1,2,1,NULL,17/01/2023 21:07
52,Smash Therapy,0,0,0,0,0,0,0,0,0,0,NULL,NULL
53,Art Mystery,2,4,2,2,0,3,0,3,3,2,NULL,17/01/2023 19:45
54,Candlezilla,3,2,3,1,3,4,4,3,3,2,NULL,17/01/2023 19:34
55,Selin,4,3,2,4,5,4,3,4,4,3,NULL,17/01/2023 19:30
56,bits,5,5,3,5,5,5,5,5,5,5,NULL,17/01/2023 21:03
57,Keycharms,4,3,3,3,0,4,0,3,3,3,NULL,17/01/2023 19:45
58,Soapisticated,4,3,3,3,3,4,4,4,4,1,NULL,17/01/2023 19:50
